,Sample,OD1,OD2,AverageOD,CorrectedOD,Concentration (ng/ml),Protein detectable
0,Sample1,0.443,0.488,0.4655,0.343,2.3058768757394916,True
1,Sample2,0.433,0.43,0.4315,0.309,1.8374941849278579,True
2,Sample3,0.343,0.351,0.347,0.22449999999999998,0.9449687357859407,False
3,Sample4,0.39,0.354,0.372,0.2495,1.1735894787544936,True
4,Sample5,0.451,0.435,0.443,0.3205,1.987914823918909,True
5,Sample6,0.408,0.371,0.38949999999999996,0.26699999999999996,1.3503846078462953,True
6,Sample7,0.372,0.36,0.366,0.2435,1.1162243726517334,True
7,Sample8,0.326,0.333,0.3295,0.20700000000000002,0.8005612714467507,False
8,Sample9,0.453,0.423,0.438,0.3155,1.9215503623936492,True
9,Sample10,0.352,0.379,0.3655,0.243,1.1115166716509182,True
10,BLANK,0.11,0.135,0.1225,0.0,,False
